cancer_type	drug	metric	n	pearson_r	pearson_p	pearson_ci_low	pearson_ci_high	pearson_fdr	spearman_rho	spearman_p	spearman_ci_low	spearman_ci_high	spearman_ci_method	spearman_fdr	rank_by_pearson_desc	rank_by_pearson_asc	rank_by_spearman_desc	rank_by_spearman_asc	response_direction_note
allcancers	Gemcitabine	Z_SCORE	623	0.12240277332665	0.00220931350379732	0.0442766099676862	0.199040883128078	0.0274723331341754	0.139723818416854	0.000469341954321301	0.0618493435223521	0.215907387700157	approximate_fisher_transform	0.00610144540617692	40	247	38	249	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
allcancers	Gemcitabine	LN_IC50	623	0.122402789073439	0.00220931057686627	0.0442766259226492	0.199040898481047	0.027472296738424	0.139723818416854	0.000469341954321301	0.0618493435223521	0.215907387700157	approximate_fisher_transform	0.00610144540617692	40	247	38	249	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
allcancers	Gemcitabine	AUC	623	0.0958083566378165	0.0167533800306877	0.017387330861393	0.173057817743342	0.111429457878528	0.116263509964511	0.00366121163065247	0.0380577681243538	0.193053691920493	approximate_fisher_transform	0.0349035508788869	53	234	35	252	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
	Gemcitabine	Z_SCORE	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
	Gemcitabine	LN_IC50	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
	Gemcitabine	AUC	2										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
ACC	Gemcitabine	Z_SCORE	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ACC	Gemcitabine	LN_IC50	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
ACC	Gemcitabine	AUC	0										not_estimated_n_below_minimum						Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
ALL	Gemcitabine	Z_SCORE	15	0.256635750477365	0.355843458418223	-0.294319839158017	0.679560235626517	0.986823611489712	0.267857142857143	0.334443600512353	-0.28328431650992	0.685998196129774	approximate_fisher_transform	0.983900058692536	73	197	69	201	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
ALL	Gemcitabine	LN_IC50	15	0.256635685402354	0.355843584671699	-0.294319902786662	0.679560198133951	0.98682396161533	0.267857142857143	0.334443600512353	-0.28328431650992	0.685998196129774	approximate_fisher_transform	0.983900058692536	72	198	66	204	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
ALL	Gemcitabine	AUC	15	0.0556181560413585	0.843927989835547	-0.470036553284422	0.552149641166355	0.967474514529585	0.107142857142857	0.703901001626162	-0.428654860067802	0.58718505636934	approximate_fisher_transform	0.979844227761598	115	155	125	145	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
BLCA	Gemcitabine	Z_SCORE	16	0.548353334507984	0.0278543848729182	0.0723009770472532	0.820915925961925	0.151861568902696	0.467647058823529	0.067760850190154	-0.0365353907890409	0.782063100656439	approximate_fisher_transform	0.201048676388369	57	214	99	172	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
BLCA	Gemcitabine	LN_IC50	16	0.548353376897155	0.0278543703342874	0.0723010373462182	0.820915945728567	0.156680833130367	0.467647058823529	0.067760850190154	-0.0365353907890409	0.782063100656439	approximate_fisher_transform	0.205566624172377	56	215	97	174	Positive r means higher ploidy is associated with higher LN_IC50; interpret sensitivity direction separately from the correlation sign.
BLCA	Gemcitabine	AUC	16	0.412717495039875	0.112119961763129	-0.104332916090453	0.754136796606925	0.422807462741328	0.379411764705882	0.147227133862893	-0.143241942718109	0.736587729741125	approximate_fisher_transform	0.490945408907423	58	213	59	209	Positive r means higher ploidy is associated with higher AUC; interpret sensitivity direction separately from the correlation sign.
BRCA	Gemcitabine	Z_SCORE	43	0.270113946927747	0.0798102229194113	-0.0328989056226569	0.527651028173297	0.728417889872436	0.207037148897614	0.182822743337871	-0.0994990851606367	0.477682278024436	approximate_fisher_transform	0.660937820498625	22	255	76	201	Positive r means higher ploidy is associated with higher GDSC Z-score; sensitivity direction requires metric-specific interpretation.
