schema_version	category_id	display_label	parent_family	plot_order	include_in_enrichment_default	manuscript_allowed	min_count_policy	min_count_threshold	collapse_parent_category_id	allowed_aliases	deprecated_or_broad_terms	is_deprecated_final_class	notes
gdsc_drug_class_schema_v1	SIGNALING	Signaling	Signaling	10	TRUE	TRUE	retain	2		Kinase inhibitors;MEK inhibitors;PI3K inhibitors;RTK signaling;ERK MAPK signaling;PI3K/MTOR signaling;WNT signaling	Signal Transduction Inhibitors;Targeted therapies	FALSE	Kinase and pathway signaling drugs resolved from GDSC target/pathway evidence.
gdsc_drug_class_schema_v1	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	Epigenetics and transcription	20	TRUE	TRUE	retain	2		HDAC inhibitors;BET bromodomain inhibitors;DNMT inhibitors;Chromatin histone acetylation;Chromatin histone methylation;Chromatin other		FALSE	Chromatin regulators and transcriptional/epigenetic inhibitors.
gdsc_drug_class_schema_v1	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	Genome integrity and DNA damage	30	TRUE	TRUE	retain	2		Cytotoxic;PARP inhibitors;Topoisomerase inhibitors;DNA replication;Genome integrity	Antineoplastic Agents	FALSE	PARP, topoisomerase, nucleoside/antimetabolite, DNA replication, and genome-integrity agents.
gdsc_drug_class_schema_v1	CELL_CYCLE_MITOSIS	Cell cycle and mitosis	Cell cycle and mitosis	40	TRUE	TRUE	retain	2		Cell cycle;Mitosis;Cytoskeleton;Tubulin;Antimitotic		FALSE	Cell-cycle, mitotic, cytoskeletal, and antimitotic perturbagens.
gdsc_drug_class_schema_v1	APOPTOSIS	Apoptosis regulation	Apoptosis	50	TRUE	TRUE	retain	2		Apoptosis regulation		FALSE	Apoptosis-regulating agents.
gdsc_drug_class_schema_v1	PROTEIN_DEGRADATION	Protein stability and degradation	Protein homeostasis	60	TRUE	TRUE	retain	2		Proteasome;HSP90;Protein stability and degradation		FALSE	Proteasome, HSP90, and protein stability/degradation agents.
gdsc_drug_class_schema_v1	METABOLISM	Metabolism	Metabolism	70	TRUE	TRUE	retain	2		Metabolism;DHODH;Pyrimidine synthesis;Antioxidant;Metabolic inhibitor		FALSE	Metabolic, pyrimidine-synthesis, and oxidative-stress related agents.
gdsc_drug_class_schema_v1	HORMONE_RELATED	Hormone related	Hormone related	80	TRUE	TRUE	retain	2		Hormone-related;Hormones and antihormones		FALSE	Hormone-related agents.
gdsc_drug_class_schema_v1	P53_PATHWAY	p53 pathway	p53 pathway	90	TRUE	TRUE	retain	2		p53 pathway		FALSE	p53-pathway agents.
gdsc_drug_class_schema_v1	OTHER_REVIEWED	Other reviewed	Other reviewed	100	TRUE	TRUE	retain	2		Other;Unclassified	Antineoplastic Agents;Targeted therapies;Enzyme Inhibitors;Signal Transduction Inhibitors	FALSE	Reviewed heterogeneous category for drugs without a more specific approved class under this schema.
