drug	drug_key	drug_id_list	approved_final_category_id	approved_final_display_label	include_in_enrichment	exclusion_reason_code	exclusion_reason	rollup_resolution_status	rollup_resolution_reason	curation_status	primary_evidence_source	evidence_summary	curator	curation_date	curation_notes
123138	123138	1824	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
123829	123829	1820	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
150412	150412	1836	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
5-azacytidine	5-AZACYTIDINE	2156	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: DNA methyltransferases	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
5-Fluorouracil	5-FLUOROURACIL	1073	GENOME_INTEGRITY_DNA_DAMAGE	Genome integrity and DNA damage	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Other; target: Antimetabolite (DNA & RNA)	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
50869	50869	1826	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
615590	615590	1839	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
630600	630600	1840	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
667880	667880	1829	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
720427	720427	1828	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
729189	729189	1832	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
741909	741909	1833	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
743380	743380	1834	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
765771	765771	1821	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
776928	776928	1844	OTHER_REVIEWED	Other reviewed	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
A-366	A-366	2157	EPIGENETICS_TRANSCRIPTION	Epigenetics and transcription	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Chromatin histone methylation; target: "EHMT1, EHMT2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
ABT737	ABT737	1910	APOPTOSIS	Apoptosis regulation	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Apoptosis regulation; target: "BCL2, BCL-XL,  BCL-W, BCL-B, BFL1"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Acetalax	ACETALAX	1803;1804	OTHER_REVIEWED	Other reviewed	TRUE			resolved_same_category	Multiple GDSC DRUG_ID values share this drug key and resolve to the same category.	approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Unclassified; target: 	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Afatinib	AFATINIB	1032	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: EGFR signaling; target: "EGFR, ERBB2"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
Afuresertib	AFURESERTIB	1912	SIGNALING	Signaling	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: PI3K/MTOR signaling; target: "AKT1, AKT2, AKT3"	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
AGI-5198	AGI-5198	1913	METABOLISM	Metabolism	TRUE			none		approved	GDSC_PUTATIVE_TARGET_AND_PATHWAY	GDSC pathway: Metabolism; target: IDH1 (R132H)	codex_initial_schema	2026-06-26	Initial deterministic mapping from reviewed schema and GDSC target/pathway evidence; review before manuscript freeze.
