mouse_id	injected_origin	dose_mg_kg	fcs_file	wsp_sample_name	peak_gate_name	reviewed_peak_annotation_n	harvest_date	acquisition_date	source_basename	selection_role	selection_rationale	excluded_alternates	notes
2N-A1-0	2N	0	Sample_A1-0-GENOMICS_035.fcs	Sample_A1-0-GENOMICS_035.fcs	2N	2.00	NA	2025-01-28	Sample_A1-0-GENOMICS_035.fcs	manuscript_endpoint_tumor_primary	GENOMICS aliquot selected to match the sequenced-tumor context	Sample_A1-0-TISSUE_031.fcs;Sample_A1-0-VT_039.fcs	Peak gate is the workspace's generic manually defined 2N population
2N-A1-LR	2N	0	Sample_A1-RL-GENOMICS_038.fcs	Sample_A1-RL-GENOMICS_038.fcs	2N	2.00	NA	2025-01-28	Sample_A1-RL-GENOMICS_038.fcs	manuscript_endpoint_tumor_primary	GENOMICS aliquot selected to match the sequenced-tumor context	Sample_A1-RL-TISSUE_034.fcs;Sample_A1-RL-VT_042.fcs	Manuscript LR is explicitly cross-walked to cytometry RL; peak gate is the workspace's generic manually defined 2N population
2N-A1-R	2N	0	Sample_A1-R_GENOMICS_036.fcs	Sample_A1-R_GENOMICS_036.fcs	2N	2.00	NA	2025-01-28	Sample_A1-R_GENOMICS_036.fcs	manuscript_endpoint_tumor_primary	GENOMICS aliquot selected to match the sequenced-tumor context	Sample_A1-R-TISSUE_032.fcs;Sample_A1-R-VT_040.fcs	Peak gate is the workspace's generic manually defined 2N population
2N-A1-RR	2N	0	Sample_A1-RR-GENOMICS_037.fcs	Sample_A1-RR-GENOMICS_037.fcs	2N	2.00	NA	2025-01-28	Sample_A1-RR-GENOMICS_037.fcs	manuscript_endpoint_tumor_primary	GENOMICS aliquot selected to match the sequenced-tumor context	Sample_A1-RR-TISSUE_033.fcs;Sample_A1-RR-VT_041.fcs	Peak gate is the workspace's generic manually defined 2N population
2N-A2-0	2N	30	Sample_A2-0_001.fcs	Sample_A2-0_001.fcs	2N 50	2.00	NA	2025-01-28	Sample_A2-0_001.fcs	manuscript_endpoint_tumor_primary	Initial acquisition selected; later duplicate acquisition excluded	Sample_A2-0_002_004.fcs	Exact workspace peak gate is 2N 50; reviewed numeric value is stored separately
2N-A2-L	2N	30	Sample_A2-L_002.fcs	Sample_A2-L_002.fcs	2N 50	2.00	NA	2025-01-28	Sample_A2-L_002.fcs	manuscript_endpoint_tumor_primary	Initial acquisition selected; later duplicate acquisition excluded	Sample_A2-L_002_003.fcs	Exact workspace peak gate is 2N 50; reviewed numeric value is stored separately
2N-A4-R	2N	120	Sample_A4-R_005.fcs	Sample_A4-R_005.fcs	2N 50	2.00	NA	2025-01-28	Sample_A4-R_005.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Exact workspace peak gate is 2N 50; reviewed numeric value is stored separately
2N-A4-RL	2N	120	Sample_A4-RL_006.fcs	Sample_A4-RL_006.fcs	2N 50	2.00	NA	2025-01-28	Sample_A4-RL_006.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Exact workspace peak gate is 2N 50; reviewed numeric value is stored separately
4N-A5-0	4N	0	Sample_A5-0_007.fcs	Sample_A5-0_007.fcs	1.88N	1.88	NA	2025-01-28	Sample_A5-0_007.fcs	manuscript_endpoint_tumor_primary	Primary unsuffixed acquisition selected by the fixed selection rule	Sample_A5-0_M_008.fcs	The specimen or aliquot relationship of the paired M acquisition is unresolved; peak gate name is a manual annotation
A5-4N-L	4N	0	Sample_A5-L_010.fcs	Sample_A5-L_010.fcs	2.08N	2.08	NA	2025-01-28	Sample_A5-L_010.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Peak gate name is a manual workspace annotation and not a de novo calibrated ploidy estimate
A5-4N-R	4N	0	Sample_A5-R_009.fcs	Sample_A5-R_009.fcs	2.2N	2.20	NA	2025-01-28	Sample_A5-R_009.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Exact workspace gate spelling is 2.2N; reports may format the reviewed numeric value as 2.20N
4N-A5-RR	4N	0	Sample_A5-RR_013.fcs	Sample_A5-RR_013.fcs	1.88N	1.88	NA	2025-01-28	Sample_A5-RR_013.fcs	manuscript_endpoint_tumor_primary	Primary unsuffixed acquisition selected by the fixed selection rule	Sample_A5-RR_M_014.fcs	The specimen or aliquot relationship of the paired M acquisition is unresolved; peak gate name is a manual annotation
A6-4N-O	4N	30	Sample_A6-0_015.fcs	Sample_A6-0_015.fcs	2.12N	2.12	NA	2025-01-28	Sample_A6-0_015.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Canonical terminal O is explicitly cross-walked to cytometry digit 0; peak gate name is a manual annotation
A6-4N-RR	4N	30	Sample_A6-RR_020.fcs	Sample_A6-RR_020.fcs	2.12N	2.12	NA	2025-01-28	Sample_A6-RR_020.fcs	manuscript_endpoint_tumor_primary	Only workspace acquisition for the canonical mouse	NA	Peak gate name is a manual workspace annotation and not a de novo calibrated ploidy estimate
4N-A8-RL	4N	120	Sample_A8-RL_027.fcs	Sample_A8-RL_027.fcs	2.04N	2.04	NA	2025-01-28	Sample_A8-RL_027.fcs	manuscript_endpoint_tumor_primary	Primary unsuffixed acquisition selected by the fixed selection rule	Sample_A8-RL_M_028.fcs	The specimen or aliquot relationship of the paired M acquisition is unresolved; peak gate name is a manual annotation
4N-A8-RR	4N	120	Sample_A8-RR_029.fcs	Sample_A8-RR_029.fcs	2.08N	2.08	NA	2025-01-28	Sample_A8-RR_029.fcs	manuscript_endpoint_tumor_primary	Primary unsuffixed acquisition selected by the fixed selection rule	Sample_A8-RR-M_030.fcs	The specimen or aliquot relationship of the paired M acquisition is unresolved; peak gate name is a manual annotation
