module	domain	current_entrypoint	canonical_output_root	required_inputs	expected_outputs	optional	default_mode	notes
gdsc	public_data	Code/gdsc_ploidy_analysis/run_gdsc_ploidy_analysis.R	Results/public_data/gdsc_ploidy_analysis	Data/public_data/gdsc/raw/GDSC2_fitted_dose_response_24Jul22.txt;Data/public_data/gdsc/raw/ploidyAcrossCellLines_V1.txt;Data/public_data/gdsc/manual/drug_class_final_used_with_primary_secondary_corrected.xlsx	enrichment workbooks;ploidy-enrichment source panels;clustered heatmaps;metadata	FALSE	standard	Current manuscript module uses --analysis-mode=manuscript with the reviewed primary/secondary drug-class workbook, which was compiled from PubChem and DrugBank annotations and is treated as a frozen manual input.
ccle	public_data	Code/ccle_ploidy_analysis/run_ccle_ploidy_analysis.R	Results/public_data/ccle_ploidy_analysis	Data/public_data/ccle/raw/Cell_app_export.txt;Data/public_data/ccle/manual/breast_ccle_ploidy.tsv;Data/public_data/ccle/raw/DrugAliases.txt	CCLE drug-ploidy correlation table and barplot	FALSE	standard	Metric policy for Figure 2B must be frozen before manuscript materialization.
drug_response	in-vitro	Code/in-vitro/drug_response/plot_gemcitabine_ploidy_auc_association.R	Results/in-vitro/drug_response	Data/in-vitro/drug_response/Gemcitabine.txt;Data/in-vitro/drug_response/fig3h_cloneid_ploidy.tsv	gemcitabine dose-response fits;AUC/EC50/IC50 ploidy association plots and tables	FALSE	standard	CLONEID ploidy refresh is optional and external-infrastructure dependent.
lci_overlays	in-vitro	Code/lci_overlays/generate_timecourse_overlays.py	Results/in-vitro/lci_overlays	explicit --lci-analysis-dir	overlay PNGs and assembled time-course panel	TRUE	standard	Skipped unless an analysis directory is explicitly provided.
pkpd_live_dead_model	in-vitro	Code/in-vitro/pkpd_live_dead_model/plot_invitro_fit_outputs.py	Results/in-vitro/pkpd_live_dead_model	Data/GemDelayKillTerm/processed/counts_by_well_time_wellAggregated.parquet;Data/in-vitro/pkpd_live_dead_model/raw/Gemcitabine_PlateMap_20240111.xlsx;Data/in-vitro/pkpd_live_dead_model/raw/drugKinetics/GemcitabineExposure_PKPD.xlsx;saved or new joint_fit_summary.tsv	cohort live/dead fits;dFdCTP driver plots;effective signal plot;parameter fold-change;dose-response ploidy comparison	FALSE	saved-fit	Full refitting is available but not required for ordinary panel regeneration.
metabolomics	in-vitro	Code/Gemcitabine_Metabolomics_Heatmap/run_full_2fold_metabolomics_analysis.py;Code/Gemcitabine_Metabolomics_Heatmap/Pathway_enrichment_heatmap_Gemcitabine_2fold_corrected.py;Code/Gemcitabine_Metabolomics_Heatmap/Metabolomics_Heatmap_Gemcitabine_zscore.py	Results/in-vitro/metabolomics	Data/in-vitro/metabolomics/raw/Metabolomics_2N_4N_Full.xlsm	PCA;response summaries;pathway enrichment heatmap;ordered metabolite heatmap;volcano outputs	FALSE	standard	Workbook is stored under Data/in-vitro/metabolomics/raw; see Data/README.md for the figure-to-dataset map.
in_vivo_figure7	in-vivo	Code/in-vivo/figure7/run_figure7.R	Results/in-vivo/figure7	Code/in-vivo/figure7/figure7_config.yaml;routine frozen A-E tables and reviewed human-only initial-ploidy-adjusted 7F pointwise-v4 reference;reviewed 11-table SI cache for promoted SI4A-C/E and SI7B;exact 9,832-cell QC-filtered NUMBAT heatmap inputs;full-refit Zenodo loom/RDS manifest or external 18-H5 Cell Ranger boundary;versioned endpoint-ploidy, sample-info, and growth-curve artifacts	Figure 7 A-F scientific source PDF/PNG pairs;A-L manuscript composite;plotting/statistical tables;portable metadata;validated reusable intermediates	FALSE	standard	Routine mode stays lightweight, renders the canonical GRCh-only 7F pointwise-v4 result modeled directly on the computed 0.296-0.486 interval with BH-FDR <= 0.05 and no nonsignificant backfill, uses the raw mouse-level mean endpoint-ploidy versus TGI Pearson association with all 8! unrestricted label permutations in panel L, moves the density-localization view to SI4I, adds the QC-filtered copy-number heatmap with injected-origin, dose, and mouse annotations as panel J, and assembles Figure7_reviewed_GRCh.png in manuscript reading order using shared plotting helpers. Scoped full-refit schedules SI4-7 first, binds its run-scoped generated-human-only cache and complete lineage into Figure 7, reuses downstream caches or the five-stage final Seurat reconstruction, and writes Figure7_generated_GRCh_candidate.png with canonical publication disabled. The superseded human-only endpoint-score v2 reference remains audit-only.
si_figures	in-vivo	Code/in-vivo/SI_figures/run_supplementary_figures.R	Results/in-vivo/SI_figures	Data/in-vivo/SIfigures/manifest.tsv and 11 frozen plot tables in routine mode;shared final Seurat reconstruction or deposited RDS plus versioned endpoint-ploidy artifact in full-refit	Supplementary Figures 4-7 final composite PDF/PNG pairs;portable displayed-panel contract;run-scoped 11-table raw cache	FALSE	standard	Routine plot-only mode uses the reviewed exact-GRCh raw-refit SI7 matrices and touches no raw inputs; the other nine SI4-7 tables remain unchanged. Scoped full-refit can share Figure 7's cache-first five-stage Seurat reconstruction and rebuild all four supplementary figures with resumable per-cluster differential expression, but generated caches remain explicitly noncanonical until reviewed. Only the manuscript-used panel sets are published in the final composites: SI4 D/F/I, SI5 E/G, SI6 A-E, and SI7 A.
in_vivo_velocity_pseudotime	in-vivo	Code/in-vivo/velocity_pseudotime/run_velocity_pseudotime.R	Results/in-vivo/velocity_pseudotime	Reviewed checksum-bound 2,881-cell velocity/UMAP table in routine mode;otherwise the pinned 18 loom files and reviewed/reconstructed final Seurat RDS	Supplementary Figure 10 stochastic RNA-velocity/pseudotime panel;plot-facing cell/vector table;smoothed vector-grid table;portable provenance	TRUE	standard	Opt-in until the raw-regenerated vector table has been scientifically reviewed and frozen. Routine mode never reads loom files. Full-workflow preferentially reuses a validated frozen or generated table, otherwise computes stochastic scVelo velocity and pseudotime on the full reviewed Seurat universe with cluster 6 as the explicit root and restricts the publication table to the exact 2,881 tumor CellCycle cells. Raw-generated output is not materialized until its frozen table is reviewed.
in_vivo_endpoint_flow	in-vivo	Code/in-vivo/flow_cytometry/run_endpoint_flow.sh	Results/in-vivo/flow_cytometry	Data/in-vivo/flow_cytometry/endpoint_tumors_20250128/crosswalk.tsv;paired-acquisition sensitivity mapping;pinned content manifest;reviewed FlowJo workspace;16 explicitly selected FCS acquisitions	Per-mouse frozen and replayed gate counts;per-sample WSP gate geometry;within-mouse raw-axis DNA histograms;Supplementary Figure 9 A-B publication composite;workspace-only paired-acquisition sensitivity;portable metadata	TRUE	standard	Opt-in supporting-data module. It first verifies all selected inputs against pinned size/SHA-256 values and extracts frozen FlowJo counts, then replays each sample's workspace-defined linear FSC-A/SSC-A/DNA hierarchy on unscaled FCS events. It reports rather than overwrites small FlowJo-versus-replay differences without assigning them an unverified cause, retains and flags the 174-HumanCells sample, and renders panels A-B only. Panel B prints all reviewed peak annotations; replay/QC comparisons remain in tables rather than a third display panel. When explicitly selected, Manager materializes the PDF/PNG pair into the canonical supplementary asset tree.
