drug	drugName	pubchem_cid	drugCategory_Pubchem	annotation_source	annotation_status	retrieved_at	pubchem_url	notes
Lapatinib	Lapatinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sepantronium bromide	Sepantronium bromide		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Tretinoin	Tretinoin		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Dermatologic Agents; Keratolytic Agents; Retinoids; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
WIKI4	WIKI4			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
IOX2	IOX2			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dactolisib	Dactolisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Sapitinib	Sapitinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GNE-317	GNE-317		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SB505124	SB505124		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD8186	AZD8186		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Elesclomol	Elesclomol		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK1904529A	GSK1904529A		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Pictilisib	Pictilisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD8055	AZD8055		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Doramapimod	Doramapimod		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
WEHI-539	WEHI-539		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Entinostat	Entinostat		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Entospletinib	Entospletinib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ibrutinib	Ibrutinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Methotrexate	Methotrexate		Breast Feeding; Lactation; Milk, Human; Abortifacient Agents, Nonsteroidal; Antimetabolites, Antineoplastic; Antirheumatic Agents; Folic Acid Antagonists; Immunosuppressive Agents; Cytotoxic medicines; Dermatological medicines > Medicines affecting skin differentiation and proliferation; Disease-modifying anti-rheumatic drugs (DMARDs)	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BDOCA000347a	BDOCA000347a			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Osimertinib	Osimertinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Gefitinib	Gefitinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PLX-4720	PLX-4720		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BMS-536924	BMS-536924		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PD173074	PD173074		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Romidepsin	Romidepsin		Antineoplastic Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
741909	741909			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ascorbate (vitamin C)	ascorbate (vitamin C)			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
JAK_8517	JAK_8517		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Rapamycin	Rapamycin		Breast Feeding; Lactation; Milk, Human; Immunosuppressive Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MN-64	MN-64			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Bortezomib	Bortezomib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Proteasome Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK591	GSK591		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD2014	AZD2014		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
RVX-208	RVX-208		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GDC0810	GDC0810		HORMONES AND ANTIHORMONES	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SB590885	SB590885		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Tanespimycin	Tanespimycin			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD4547	AZD4547		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MG-132	MG-132			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
LCL161	LCL161		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
OF-1	OF-1			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
OSI-027	OSI-027		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Afatinib	Afatinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZ6102	AZ6102			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Erlotinib	Erlotinib		Breast Feeding; Lactation; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Signal Transduction Inhibitors; Tyrosine Kinase Inhibitors;; Targeted therapies	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
UMI-77	UMI-77		CYTOTOXIC	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
AZD1332	AZD1332			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
TAF1_5496	TAF1_5496		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
743380	743380			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
765771	765771			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Remodelin	Remodelin			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
OTX015	OTX015		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
123829	123829			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
NVP-ADW742	NVP-ADW742		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ML323	ML323			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Taselisib	Taselisib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
776928	776928			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
EHT-1864	EHT-1864			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
I-BET-762	I-BET-762		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
CHIR-99021	CHIR-99021			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
P22077	P22077			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Uprosertib	Uprosertib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
MK-2206	MK-2206		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Alpelisib	Alpelisib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SCH772984	SCH772984		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Serdemetan	Serdemetan			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Temsirolimus	Temsirolimus		Breast Feeding; Lactation; Immunosuppressive Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dihydrorotenone	Dihydrorotenone			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
JNK Inhibitor VIII	JNK Inhibitor VIII			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Refametinib	Refametinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
ULK1_4989	ULK1_4989			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Linsitinib	Linsitinib		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Cyclophosphamide	Cyclophosphamide		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Alkylating Agents; Cytotoxic medicines	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Vorinostat	Vorinostat		Antineoplastic Agents	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
GSK343	GSK343		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
SGC0946	SGC0946		EPIGENETICS AND TRANSCRIPTION	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Tamoxifen	Tamoxifen		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Estrogen Antagonists; Hormones and antihormones	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
PRT062607	PRT062607		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Ulixertinib	Ulixertinib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Selumetinib	Selumetinib		Breast Feeding; Lactation; Milk, Human; Antineoplastic Agents; Enzyme Inhibitors; Protein Kinase Inhibitors; Tyrosine Kinase Inhibitors; Signal Transduction Inhibitors; MEK Inhibitors	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
BMS-754807	BMS-754807		SIGNALING	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
NU7441	NU7441			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
Dinaciclib	Dinaciclib		Signaling	baseline_coxIn_RData	cached	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
VE-822	VE-822			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
CCT007093	CCT007093			baseline_coxIn_RData	unclassified	preexisting_committed_output		Seeded from Code/gdsc_ploidy_analysis/output/coxIn.RData to preserve pre-hardening annotations
