doi	record_url	document_role	filename	size_bytes	md5	download_url	availability	description
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	overview	readme.md	13451	f90aedf2586b79b1cb98f8ac28a9880d	https://zenodo.org/api/records/21463392/files/readme.md/content	authoritative_copy_on_zenodo	Reviewed description of the Seurat and loom upstream analysis steps and recorded reproduction commands.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	checksum_manifest	checksum.md	4049	3308f9f2e8c176de5a1aece97e68b096	https://zenodo.org/api/records/21463392/files/checksum.md/content	authoritative_copy_on_zenodo	SHA-256 checksum inventory for the deposited data and documentation.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	seurat_provenance	integrated_sct_cca_seurat_final_reclustered_provenance.csv	19150	9a0aa6a27187f488ca2602f41d934c84	https://zenodo.org/api/records/21463392/files/integrated_sct_cca_seurat_final_reclustered_provenance.csv/content	authoritative_copy_on_zenodo	Structured provenance for Seurat generation, QC, integration, annotation, filtering, clustering, and reductions.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	loom_parameters	loom_generation_parameters.csv	60188	b6b31520e435e1a579d5a8dfa1ae483d	https://zenodo.org/api/records/21463392/files/loom_generation_parameters.csv/content	authoritative_copy_on_zenodo	Per-sample velocyto inputs, commands, parameters, logs, and generated loom metadata.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	loom_runtime	loom_generation_runtime_environment.csv	18744	b661078a258ac1d2274524d21e9dd080	https://zenodo.org/api/records/21463392/files/loom_generation_runtime_environment.csv/content	authoritative_copy_on_zenodo	Runtime environment recorded for loom generation.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	runtime_overview	runtime_environment.md	13578	6ff586c3f8301ab8b45421405cb0f863	https://zenodo.org/api/records/21463392/files/runtime_environment.md/content	authoritative_copy_on_zenodo	Human-readable software and runtime provenance for the upstream analysis.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	runtime_software	runtime_environment_software.csv	5917	91a9e9e26ed6cfe31a30d790a2bdbf7f	https://zenodo.org/api/records/21463392/files/runtime_environment_software.csv/content	authoritative_copy_on_zenodo	Structured software and executable version inventory.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	runtime_packages	runtime_environment_packages.csv	20637	7a958b2d78c32fe7e58d968b1155660e	https://zenodo.org/api/records/21463392/files/runtime_environment_packages.csv/content	authoritative_copy_on_zenodo	Structured package inventory for the final-object environment.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	runtime_session	runtime_environment_sessionInfo.txt	7471	3939b29e935023a170d6b430362931e8	https://zenodo.org/api/records/21463392/files/runtime_environment_sessionInfo.txt/content	authoritative_copy_on_zenodo	R sessionInfo for the final-object inspection environment.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	upstream_packages	runtime_environment_upstream_01_data_packages.csv	22582	aca34d5f21e48ca20131c84866ed11ef	https://zenodo.org/api/records/21463392/files/runtime_environment_upstream_01_data_packages.csv/content	authoritative_copy_on_zenodo	Package inventory for the upstream 01_data Seurat integration stage.
10.5281/zenodo.21463392	https://zenodo.org/records/21463392	upstream_session	runtime_environment_upstream_01_data_sessionInfo.txt	4831	9554332440774da608d69cb80289f177	https://zenodo.org/api/records/21463392/files/runtime_environment_upstream_01_data_sessionInfo.txt/content	authoritative_copy_on_zenodo	R sessionInfo for the upstream 01_data Seurat integration stage.
